iter	RMSE
0	0.9159795815
1	0.8715237494
2	0.8292498807
3	0.7891090374
4	0.7510529068
5	0.7148290151
6	0.6803066098
7	0.6475735761
8	0.6165135931
9	0.5870053103
10	0.5587848377
11	0.5321112382
12	0.5066173307
13	0.4824630275
14	0.459515313
15	0.4377322449
16	0.4171461044
17	0.397497101
18	0.3787620666
19	0.3611680451
20	0.3443437108
21	0.3282550139
22	0.3130989884
23	0.2986398093
24	0.28495897
25	0.2719247919
26	0.2596144602
27	0.2479127976
28	0.2368271445
29	0.2263541427
30	0.2163822903
31	0.2070126525
32	0.1981192165
33	0.1896354009
34	0.1816809353
35	0.1740799288
36	0.1669550077
37	0.1601984904
38	0.1537841362
39	0.1477308123
40	0.142061769
41	0.1366627921
42	0.1315944265
43	0.12682768
44	0.1223184973
45	0.11808243
46	0.1141031142
47	0.1104105295
48	0.106881495
49	0.1036287884
50	0.1005675423
51	0.09770570414
52	0.095034439
53	0.0924995689
54	0.09015772583
55	0.08798266708
56	0.08591383197
57	0.0840256173
58	0.08223520033
59	0.08057737662
60	0.07902218432
61	0.07760753628
62	0.07627944061
63	0.07506616548
64	0.07392273204
65	0.07288078544
66	0.07189789604
67	0.07099069053
68	0.07014721023
69	0.06937742817
70	0.06866499835
71	0.06799989409
72	0.06739874736
73	0.06684951934
74	0.06632295941
75	0.06586292744
76	0.06544118602
77	0.06502420923
78	0.06463737553
79	0.06427829508
80	0.0639516667
81	0.06364894142
82	0.06337627575
83	0.06313298926
84	0.06289590752
85	0.06267778101
86	0.06247806907
87	0.06228773199
88	0.06210920794
89	0.06194504269
90	0.06180120415
91	0.06166027689
92	0.06153179093
93	0.06140651837
94	0.06129894144
95	0.06119367228
96	0.0610885914
97	0.06099360065
98	0.06091242807
99	0.06081500442
100	0.0607334692
101	0.06066134676
102	0.06059090133
103	0.06052612884
104	0.0604647595
105	0.06039941721
106	0.06034939906
107	0.06030420793
108	0.06024781316
109	0.06020573925
110	0.06015364916
111	0.06010546084
112	0.06007022393
113	0.06002654781
114	0.05999386226
115	0.05995573997
116	0.05992156943
117	0.05988539538
118	0.05985518208
119	0.05982367483
120	0.05980169799
121	0.05977434577
122	0.05974532607
123	0.05972226096
124	0.0596928274
125	0.05967336288
126	0.05964364254
127	0.05962043912
128	0.05959367967
129	0.05956663155
130	0.05953120215
131	0.05951219757
132	0.05948802975
133	0.05946315413
134	0.05943702216
135	0.05940968696
136	0.05939144167
137	0.05936445219
