iter	Passed	Remaining
0	507	931125
1	905	830123
2	1252	765150
3	1607	736439
4	1986	727605
5	2345	715250
6	2704	706655
7	2981	681305
8	3397	689618
9	3786	691506
10	4234	702545
11	4654	707522
12	5107	716297
13	5526	719267
14	6008	729427
15	6381	725899
16	6760	723367
17	7185	725780
18	7574	724383
19	7997	726184
20	8414	727245
21	8806	726130
22	9190	724488
23	9580	723347
24	9957	721347
25	10367	721763
26	10827	725466
27	11186	722312
28	11513	717431
29	11876	714939
30	12348	719014
31	12737	718059
32	13193	720852
33	13598	720731
34	14001	720493
35	14426	721315
36	14863	722706
37	15313	724574
38	15731	724856
39	16198	727301
40	16606	727040
41	17012	726682
42	17438	727144
43	17837	726468
44	18251	726395
45	18649	725697
46	19095	726829
47	19513	726886
48	19939	727166
49	20376	727855
50	20798	727941
51	21176	726515
52	21583	726091
53	22025	726853
54	22427	726237
55	22846	726201
56	23355	728943
57	23863	731543
58	24282	731353
59	24619	728730
60	24999	727430
61	25407	726991
62	25813	726478
63	26240	726520
64	26720	728020
65	27209	729719
66	27645	729919
67	28042	729106
68	28447	728491
69	28858	728051
70	29250	727138
71	29654	726525
72	30031	725275
73	30462	725335
74	30808	723394
75	31149	721345
76	31466	718829
77	31926	719582
78	32351	719514
79	32787	719692
80	33167	718634
81	33526	717144
82	33927	716559
83	34338	716210
84	34711	715057
85	35110	714458
86	35478	713236
87	35905	713207
88	36315	712845
89	36734	712654
90	37139	712171
91	37538	711597
92	37920	710698
93	38335	710423
94	38781	710727
95	39175	710056
96	39588	709733
97	40007	709520
98	40447	709673
99	40859	709315
100	41340	710148
101	41790	710437
102	42237	710655
103	42733	711684
104	43169	711683
105	43536	710543
106	43962	710387
107	44355	709691
108	44723	708607
109	45123	708030
110	45495	707022
111	45828	705430
112	46246	705152
113	46662	704845
114	47009	703507
115	47375	702459
116	47744	701470
117	48193	701670
118	48598	701203
119	49041	701294
120	49451	700904
121	49815	699867
122	50196	699079
123	50621	698898
124	50974	697737
125	51325	696565
126	51641	694917
127	52006	693962
128	52363	692902
129	52764	692432
130	53190	692284
131	53524	690957
132	53872	689812
133	54251	689071
134	54604	688016
135	54961	687018
136	55381	686813
137	55759	686079
138	56119	685146
139	56497	684423
140	56881	683787
141	57267	683175
142	57666	682724
143	58082	682466
144	58433	681451
145	58769	680278
146	59100	679048
147	59470	678289
148	59851	677644
149	60248	677191
150	60618	676435
151	60997	675791
152	61356	674925
153	61767	674633
154	62162	674159
155	62569	673824
156	62938	673084
157	63303	672299
158	63682	671670
159	64047	670892
160	64429	670311
161	64860	670225
162	65265	669868
163	65673	669552
164	66079	669205
165	66439	668398
166	66779	667395
167	67208	667280
168	67677	667560
169	67993	666341
170	68329	665317
171	68739	665011
172	69136	664586
173	69527	664103
174	69905	663502
175	70248	662566
176	70655	662245
177	71018	661509
178	71371	660684
179	71720	659832
180	72103	659286
181	72505	658922
182	72895	658450
183	73272	657858
184	73639	657183
185	74027	656699
186	74394	656028
187	74798	655682
188	75147	654853
189	75500	654074
190	75860	653355
191	76214	652585
192	76665	652652
193	77047	652124
194	77458	651844
195	77823	651177
196	78189	650516
197	78557	649882
198	78918	649193
199	79267	648411
200	79664	648013
201	80019	647283
202	80405	646807
203	80801	646410
204	81208	646099
205	81546	645249
206	81890	644439
207	82257	643819
208	82635	643292
209	83013	642760
210	83345	641879
211	83679	641015
212	84074	640620
213	84465	640197
214	84891	640039
215	85314	639856
216	85741	639705
217	86103	639058
218	86475	638496
219	86821	637744
220	87174	637044
221	87510	636225
222	87871	635592
223	88255	635124
224	88624	634552
225	89002	634043
226	89433	633917
227	89833	633562
228	90231	633195
229	90599	632621
230	90928	631774
231	91263	630974
232	91654	630565
233	92003	629869
234	92395	629465
235	92782	629036
236	93130	628335
237	93550	628127
238	93904	627467
239	94249	626756
240	94572	625904
241	94986	625655
242	95317	624861
243	95677	624255
244	96041	623681
245	96408	623129
246	96838	622980
247	97184	622295
248	97528	621596
249	97878	620940
250	98236	620335
251	98627	619944
252	98967	619233
253	99361	618856
254	99735	618359
255	100076	617658
256	100429	617037
257	100839	616765
258	101229	616368
259	101611	615922
260	102025	615669
261	102399	615177
262	102762	614620
263	103100	613917
264	103458	613335
265	103850	612953
266	104199	612318
267	104545	611670
268	104906	611111
269	105256	610488
270	105690	610355
271	106030	609677
272	106413	609247
273	106771	608673
274	107148	608213
275	107529	607777
276	107945	607535
277	108347	607215
278	108687	606548
279	109139	606503
280	109460	605732
281	109902	605634
282	110264	605092
283	110667	604775
284	111007	604116
285	111352	603482
286	111767	603233
287	112123	602664
288	112541	602430
289	112856	601641
290	113285	601464
291	113656	600977
292	114011	600408
293	114412	600081
294	114747	599410
295	115126	598971
296	115491	598457
297	115852	597921
298	116231	597485
299	116639	597193
300	117046	596899
301	117475	596711
302	117871	596360
303	118226	595799
304	118629	595483
305	118997	594986
306	119353	594437
307	119766	594167
308	120129	593648
309	120548	593409
310	120928	592978
311	121256	592293
312	121595	591662
313	121963	591172
314	122308	590573
315	122662	590019
316	123046	589613
317	123408	589102
318	123752	588504
319	124116	588001
320	124475	587476
321	124869	587117
322	125255	586721
323	125671	586467
324	126040	585992
325	126430	585614
326	126795	585119
327	127204	584831
328	127553	584266
329	127940	583874
330	128270	583221
331	128620	582668
332	129005	582269
333	129381	581831
334	129718	581217
335	130077	580701
336	130454	580270
337	130863	579981
338	131255	579616
339	131658	579298
340	132036	578870
341	132386	578320
342	132743	577802
343	133131	577417
344	133517	577029
345	133941	576800
346	134288	576242
347	134602	575540
348	134976	575100
349	135318	574524
350	135702	574124
351	136185	574146
352	136532	573589
353	136906	573150
354	137265	572649
355	137589	571999
356	137943	571480
357	138317	571043
358	138680	570561
359	139047	570096
360	139449	569774
361	139818	569317
362	140192	568881
363	140543	568350
364	140904	567864
365	141321	567604
366	141727	567298
367	142115	566919
368	142470	566405
369	142824	565894
370	143151	565276
371	143508	564773
372	143905	564435
373	144272	563974
374	144675	563656
375	145029	563147
376	145488	563042
377	145847	562555
378	146244	562212
379	146588	561663
380	146963	561238
381	147355	560878
382	147727	560438
383	148067	559881
384	148414	559347
385	148808	558995
386	149201	558639
387	149611	558342
388	149942	557756
389	150345	557434
390	150781	557236
391	151123	556690
392	151487	556223
393	151828	555675
394	152225	555333
395	152604	554926
396	153030	554685
397	153436	554374
398	153877	554190
399	154265	553814
400	154621	553322
401	155005	552930
402	155367	552459
403	155717	551948
404	156103	551564
405	156508	551248
406	156875	550798
407	157216	550258
408	157571	549765
409	157952	549365
410	158322	548926
411	158680	548448
412	159065	548061
413	159515	547901
414	159921	547586
415	160284	547125
416	160627	546595
417	160991	546137
418	161379	545763
419	161731	545267
420	162111	544864
421	162497	544481
422	162905	544174
423	163320	543888
424	163699	543482
425	164114	543196
426	164484	542761
427	164932	542583
428	165327	542229
429	165735	541916
430	166119	541526
431	166503	541137
432	166906	540807
433	167318	540507
434	167729	540204
435	168116	539824
436	168513	539473
437	168855	538949
438	169259	538623
439	169633	538201
440	170021	537822
441	170394	537399
442	170786	537032
443	171155	536596
444	171532	536184
445	171936	535857
446	172303	535414
447	172614	534797
448	173015	534461
449	173347	533909
450	173722	533492
451	174132	533183
452	174486	532703
453	174938	532522
454	175327	532149
455	175720	531784
456	176095	531368
457	176445	530876
458	176779	530339
459	177129	529849
460	177487	529382
461	177927	529160
462	178306	528758
463	178655	528264
464	179012	527799
465	179384	527374
466	179827	527161
467	180277	526965
468	180681	526633
469	181053	526210
470	181422	525778
471	181766	525273
472	182140	524858
473	182539	524511
474	182983	524296
475	183375	523928
476	183782	523605
477	184187	523277
478	184545	522816
479	184955	522500
480	185326	522073
481	185650	521516
482	186029	521114
483	186402	520693
484	186728	520143
485	187096	519711
486	187489	519351
487	187930	519118
488	188266	518598
489	188603	518082
490	188959	517617
491	189313	517148
492	189685	516728
493	190040	516263
494	190425	515880
495	190802	515475
496	191227	515198
497	191628	514858
498	192053	514579
499	192457	514247
500	192840	513855
501	193233	513492
502	193611	513089
503	194051	512849
504	194450	512501
505	194858	512176
506	195279	511885
507	195620	511385
508	195948	510852
509	196328	510453
510	196695	510022
511	197026	509497
512	197418	509133
513	197829	508815
514	198183	508350
515	198599	508044
516	198924	507507
517	199290	507075
518	199745	506868
519	200123	506465
520	200444	505920
521	200838	505557
522	201248	505238
523	201602	504776
524	201946	504289
525	202272	503758
526	202615	503269
527	202972	502818
528	203331	502370
529	203687	501915
530	204094	501589
531	204540	501353
532	204925	500972
533	205310	500589
534	205707	500234
535	206033	499709
536	206429	499352
537	206814	498969
538	207163	498499
539	207568	498164
540	207964	497807
541	208339	497401
542	208723	497015
543	209088	496585
544	209500	496265
545	209868	495842
546	210233	495413
547	210570	494918
548	210990	494616
549	211344	494163
550	211693	493696
551	212027	493193
552	212358	492686
553	212729	492272
554	213123	491912
555	213471	491444
556	213856	491063
557	214245	490691
558	214598	490236
559	215010	489917
560	215380	489501
561	215762	489112
562	216222	488901
563	216618	488543
564	217012	488182
565	217335	487659
566	217740	487323
567	218098	486882
568	218463	486456
569	218825	486021
570	219225	485675
571	219706	485504
572	220135	485219
573	220528	484854
574	220867	484372
575	221259	484005
576	221630	483592
577	222032	483248
578	222449	482933
579	222821	482524
580	223197	482121
581	223596	481770
582	223954	481329
583	224336	480940
584	224695	480502
585	225077	480113
586	225435	479673
587	225795	479240
588	226151	478796
589	226529	478399
590	226859	477901
591	227252	477538
592	227635	477151
593	228067	476868
594	228491	476567
595	228866	476166
596	229233	475746
597	229617	475362
598	229979	474932
599	230403	474630
600	230788	474248
601	231180	473882
602	231631	473635
603	232074	473369
604	232562	473198
605	232945	472810
606	233330	472427
607	233687	471987
608	234034	471528
609	234398	471103
610	234786	470725
611	235182	470364
612	235553	469954
613	235970	469636
614	236369	469280
615	236777	468942
616	237200	468634
617	237568	468217
618	237944	467816
619	238326	467427
620	238678	466980
621	239097	466662
622	239472	466261
623	239768	465704
624	240105	465229
625	240485	464836
626	240862	464438
627	241213	463990
628	241597	463606
629	242005	463268
630	242453	463005
631	242797	462545
632	243274	462336
633	243691	462014
634	244095	461666
635	244475	461274
636	244827	460828
637	245162	460351
638	245569	460010
639	245964	459645
640	246338	459242
641	246648	458720
642	247088	458439
643	247500	458105
644	247879	457712
645	248270	457340
646	248671	456986
647	249116	456712
648	249493	456315
649	249852	455884
650	250246	455516
651	250593	455065
652	250972	454671
653	251317	454215
654	251703	453835
655	252033	453352
656	252432	452994
657	252814	452606
658	253194	452215
659	253587	451845
660	253929	451387
661	254238	450869
662	254655	450544
663	254982	450059
664	255348	449643
665	255709	449218
666	256108	448861
667	256507	448504
668	256873	448089
669	257243	447681
670	257624	447291
671	258030	446946
672	258451	446626
673	258819	446213
674	259174	445779
675	259542	445368
676	259887	444919
677	260221	444449
678	260618	444088
679	260996	443694
680	261398	443341
